State,Year,Transportation (MtCO2e)
MI,2005,57.8371954
MI,2006,57.49952794
MI,2007,56.92873417
MI,2008,52.88423487
MI,2009,51.04187226
MI,2010,50.97951693
MN,1995,31.33469425
MN,1996,32.30824331
MN,1997,31.90590331
MN,1998,33.41026354
MN,1999,35.46943042
MN,2000,36.69146234
MN,2001,35.81482968
MN,2002,36.24597491
MN,2003,36.00137294
MN,2004,37.32497846
MN,2005,37.76368936
MN,2006,37.16467115
MN,2007,37.39339535
MN,2008,35.92782783
MN,2009,33.05403415
MN,2010,33.55953152
MS,1995,24.4214508
MS,1996,24.69329576
MS,1997,25.52613583
MS,1998,25.83880019
MS,1999,27.16401741
MS,2000,26.38481514
MS,2001,25.56997751
MS,2002,26.00386748
MS,2003,27.32865977
MS,2004,26.72094803
MS,2005,26.1661656
MS,2006,27.58489379
MS,2007,27.33412403
MS,2008,25.96289575
MS,2009,25.28234493
MS,2010,25.72389623
MO,1995,40.61330147
MO,1996,42.71242091
MO,1997,43.665627
MO,1998,47.2992766
MO,1999,46.60335818
MO,2000,41.59085417
MO,2001,41.62935627
MO,2002,42.40520029
MO,2003,43.34832794
MO,2004,42.41779328
MO,2005,43.15580716
MO,2006,43.45176296
MO,2007,43.91248995
MO,2008,41.48505677
MO,2009,40.21519995
MO,2010,40.36990328
MT,1995,7.369087907
MT,1996,7.267951326
MT,1997,7.418525877
MT,1998,7.431298144
MT,1999,7.694225238
MT,2000,7.787265093
MT,2001,7.895578797
MT,2002,7.89652721
MT,2003,7.430976294
MT,2004,8.072246785
MT,2005,8.544569044
MT,2006,8.774313297
MT,2007,9.207702019
MT,2008,7.7928109
MT,2009,7.516916861
MT,2010,7.855062982
NE,1995,12.16544072
NE,1996,13.27113559
NE,1997,13.50263547
NE,1998,14.11965176
NE,1999,14.4349781
NE,2000,12.75686789
NE,2001,12.01691082
NE,2002,12.29569587
NE,2003,12.46154284
NE,2004,12.71639518
NE,2005,12.69893926
NE,2006,12.83851311
NE,2007,12.94114262
NE,2008,12.77136178
NE,2009,12.11524443
NE,2010,12.89935995
NV,1995,11.97514423
NV,1996,13.33287534
NV,1997,13.37833537
NV,1998,13.72603522
NV,1999,14.52392079
NV,2000,15.09806371
NV,2001,15.08812234
NV,2002,15.25766861
NV,2003,15.52524394
NV,2004,16.56231029
NV,2005,17.27520026
NV,2006,18.42182192
NV,2007,18.6677726
NV,2008,16.88484363
NV,2009,15.14085591
NV,2010,14.63212945
NH,1995,6.142901617
NH,1996,6.307271998
NH,1997,6.628603892
NH,1998,7.256925094
NH,1999,7.498094028
NH,2000,7.630928414
NH,2001,7.632141578
NH,2002,8.464933803
NH,2003,7.886390834
NH,2004,8.096444517
NH,2005,7.630569393
NH,2006,7.518439643
NH,2007,7.647333652
NH,2008,7.509879362
NH,2009,7.382788564
NH,2010,7.404205968
NJ,1995,63.67111771
NJ,1996,61.73619575
NJ,1997,62.42004333
NJ,1998,63.36078814
NJ,1999,63.09504298
NJ,2000,67.31250089
NJ,2001,65.31691725
NJ,2002,65.90293451
NJ,2003,64.00527858
NJ,2004,66.46282277
NJ,2005,71.1188999
NJ,2006,70.28251683
NJ,2007,73.96122495
NJ,2008,72.80214061
NJ,2009,63.27554897
NJ,2010,66.72227701
NM,1995,13.51955052
NM,1996,13.56494362
NM,1997,16.2705323
NM,1998,16.25613144
NM,1999,16.28735184
NM,2000,15.99047701
NM,2001,16.35206236
NM,2002,16.04398525
NM,2003,15.5486305
NM,2004,16.25122139
NM,2005,15.84143203
NM,2006,16.48898478
NM,2007,15.96326722
NM,2008,14.91742845
